report_date,zip,cases
2020-10-27,61920,972
2020-10-27,61924,9
2020-10-27,61925,27
2020-10-27,61928,23
2020-10-27,61929,11
2020-10-27,61930,19
2020-10-27,61931,34
2020-10-27,61933,14
2020-10-27,61937,23
2020-10-27,61938,809
2020-10-27,61942,19
2020-10-27,61943,41
2020-10-27,61944,124
2020-10-27,61951,272
2020-10-27,61953,179
2020-10-27,61956,54
2020-10-27,61957,47
2020-10-27,62001,35
2020-10-27,62002,NA
2020-10-27,62009,27
2020-10-27,62010,313
2020-10-27,62012,154
2020-10-27,62014,69
2020-10-27,62015,16
2020-10-27,62016,35
2020-10-27,62017,35
2020-10-27,62018,78
2020-10-27,62019,6
2020-10-27,62021,19
2020-10-27,62022,27
2020-10-27,62024,204
2020-10-27,62025,922
2020-10-27,62026,8
2020-10-27,62028,10
2020-10-27,62031,10
2020-10-27,62032,17
2020-10-27,62033,134
2020-10-27,62034,367
2020-10-27,62035,575
2020-10-27,62036,11
2020-10-27,62037,50
2020-10-27,62040,NA
2020-10-27,62044,24
2020-10-27,62045,7
2020-10-27,62046,22
2020-10-27,62047,20
2020-10-27,62048,34
2020-10-27,62049,204
2020-10-27,62050,8
2020-10-27,62051,15
2020-10-27,62052,300
2020-10-27,62053,12
2020-10-27,62054,14
2020-10-27,62056,177
2020-10-27,62059,19
2020-10-27,62060,142
2020-10-27,62061,42
2020-10-27,62062,171
2020-10-27,62063,10
2020-10-27,62067,69
2020-10-27,62069,49
2020-10-27,62074,19
2020-10-27,62075,69
2020-10-27,62080,51
2020-10-27,62082,71
2020-10-27,62084,41
2020-10-27,62086,28
2020-10-27,62087,33
2020-10-27,62088,160
2020-10-27,62089,9
2020-10-27,62090,36
2020-10-27,62091,8
2020-10-27,62092,140
2020-10-27,62093,8
2020-10-27,62094,20
2020-10-27,62095,243
2020-10-27,62097,61
2020-10-27,62201,288
2020-10-27,62202,6
2020-10-27,62203,272
2020-10-27,62204,172
2020-10-27,62205,244
2020-10-27,62206,532
2020-10-27,62207,275
2020-10-27,62208,526
2020-10-27,62214,32
2020-10-27,62215,75
2020-10-27,62216,190
2020-10-27,62217,27
2020-10-27,62218,96
2020-10-27,62219,43
2020-10-27,62220,685
2020-10-27,62221,829
2020-10-27,62223,561
2020-10-27,62225,39
2020-10-27,62226,949
2020-10-27,62230,380
2020-10-27,62231,341
2020-10-27,62232,243
2020-10-27,62233,423
2020-10-27,62234,912
2020-10-27,62236,343
2020-10-27,62237,89
2020-10-27,62238,16
2020-10-27,62239,138
2020-10-27,62240,45
2020-10-27,62241,33
2020-10-27,62242,38
2020-10-27,62243,135
2020-10-27,62244,13
2020-10-27,62245,87
2020-10-27,62246,317
2020-10-27,62248,10
2020-10-27,62249,490
2020-10-27,62250,14
2020-10-27,62253,17
2020-10-27,62254,295
2020-10-27,62255,21
2020-10-27,62257,55
2020-10-27,62258,243
2020-10-27,62259,23
2020-10-27,62260,172
2020-10-27,62262,53
2020-10-27,62263,136
2020-10-27,62264,113
2020-10-27,62265,171
2020-10-27,62266,6
2020-10-27,62268,17
2020-10-27,62269,729
2020-10-27,62271,49
2020-10-27,62272,77
2020-10-27,62273,6
2020-10-27,62274,174
2020-10-27,62275,113
2020-10-27,62277,28
2020-10-27,62278,251
2020-10-27,62280,6
2020-10-27,62281,86
2020-10-27,62282,18
2020-10-27,62284,15
2020-10-27,62285,150
2020-10-27,62286,211
2020-10-27,62288,141
2020-10-27,62289,10
2020-10-27,62292,11
2020-10-27,62293,161
2020-10-27,62294,334
2020-10-27,62295,40
2020-10-27,62297,9
2020-10-27,62298,502
2020-10-27,62301,948
2020-10-27,62305,580
2020-10-27,62311,25
2020-10-27,62312,68
2020-10-27,62314,14
2020-10-27,62316,21
2020-10-27,62320,57
2020-10-27,62321,58
2020-10-27,62324,21
2020-10-27,62325,10
2020-10-27,62326,37
2020-10-27,62330,32
2020-10-27,62338,34
2020-10-27,62339,43
2020-10-27,62340,24
2020-10-27,62341,50
2020-10-27,62343,16
2020-10-27,62345,7
2020-10-27,62347,31
2020-10-27,62349,18
2020-10-27,62351,41
2020-10-27,62353,89
2020-10-27,62354,16
2020-10-27,62356,12
2020-10-27,62357,6
2020-10-27,62358,6
2020-10-27,62359,7
2020-10-27,62360,23
2020-10-27,62361,6
2020-10-27,62363,165
2020-10-27,62365,12
2020-10-27,62366,29
2020-10-27,62367,12
2020-10-27,62370,7
2020-10-27,62375,7
2020-10-27,62376,35
2020-10-27,62378,7
2020-10-27,62379,49
2020-10-27,62380,6
2020-10-27,62401,673
2020-10-27,62410,8
2020-10-27,62411,113
2020-10-27,62413,7
2020-10-27,62414,57
2020-10-27,62417,112
2020-10-27,62418,82
2020-10-27,62420,156
2020-10-27,62421,9
2020-10-27,62422,23
2020-10-27,62423,10
2020-10-27,62424,93
2020-10-27,62425,15
2020-10-27,62426,10
2020-10-27,62427,31
2020-10-27,62428,65
2020-10-27,62431,19
2020-10-27,62432,11
2020-10-27,62433,7
2020-10-27,62434,9
2020-10-27,62436,12
2020-10-27,62438,8
2020-10-27,62439,157
2020-10-27,62440,28
2020-10-27,62441,98
2020-10-27,62442,35
2020-10-27,62443,38
2020-10-27,62444,14
2020-10-27,62445,26
2020-10-27,62446,9
2020-10-27,62447,126
2020-10-27,62448,187
2020-10-27,62449,62
2020-10-27,62450,273
2020-10-27,62451,24
2020-10-27,62452,12
2020-10-27,62454,519
2020-10-27,62458,107
2020-10-27,62460,16
2020-10-27,62461,22
2020-10-27,62462,40
2020-10-27,62463,44
2020-10-27,62465,36
2020-10-27,62466,44
2020-10-27,62467,172
2020-10-27,62468,66
2020-10-27,62469,13
2020-10-27,62471,304
2020-10-27,62473,47
2020-10-27,62474,14
2020-10-27,62476,24
2020-10-27,62479,29
2020-10-27,62480,13
2020-10-27,62501,61
2020-10-27,62510,31
2020-10-27,62512,13
2020-10-27,62513,23
2020-10-27,62514,7
2020-10-27,62515,15
2020-10-27,62518,9
2020-10-27,62520,9
2020-10-27,62521,NA
2020-10-27,62522,371
2020-10-27,62523,7
2020-10-27,62526,961
2020-10-27,62530,23
2020-10-27,62531,17
2020-10-27,62533,15
2020-10-27,62534,26
2020-10-27,62535,117
2020-10-27,62536,8
2020-10-27,62538,13
2020-10-27,62539,29
2020-10-27,62540,27
2020-10-27,62543,12
2020-10-27,62544,32
2020-10-27,62545,17
2020-10-27,62546,34
2020-10-27,62547,11
2020-10-27,62548,37
2020-10-27,62549,214
2020-10-27,62550,108
2020-10-27,62551,20
2020-10-27,62553,12
2020-10-27,62554,41
2020-10-27,62556,7
2020-10-27,62557,158
2020-10-27,62558,65
2020-10-27,62560,63
2020-10-27,62561,106
2020-10-27,62563,150
2020-10-27,62565,269
2020-10-27,62567,16
2020-10-27,62568,500
2020-10-27,62570,6
2020-10-27,62571,29
2020-10-27,62573,39
2020-10-27,62601,8
2020-10-27,62611,14
2020-10-27,62612,24
2020-10-27,62613,46
2020-10-27,62615,110
2020-10-27,62617,17
2020-10-27,62618,301
2020-10-27,62621,22
2020-10-27,62624,6
2020-10-27,62625,25
2020-10-27,62626,134
2020-10-27,62627,39
2020-10-27,62628,10
2020-10-27,62629,275
2020-10-27,62630,9
2020-10-27,62633,24
2020-10-27,62634,9
2020-10-27,62635,15
2020-10-27,62638,19
2020-10-27,62640,35
2020-10-27,62642,22
2020-10-27,62643,9
2020-10-27,62644,114
2020-10-27,62650,802
2020-10-27,62655,14
2020-10-27,62656,451
2020-10-27,62661,13
2020-10-27,62664,100
2020-10-27,62665,14
2020-10-27,62666,10
2020-10-27,62668,20
2020-10-27,62670,62
2020-10-27,62671,10
2020-10-27,62673,7
2020-10-27,62674,16
2020-10-27,62675,100
2020-10-27,62677,46
2020-10-27,62681,70
2020-10-27,62682,13
2020-10-27,62684,192
2020-10-27,62685,25
2020-10-27,62688,10
2020-10-27,62689,12
2020-10-27,62690,45
2020-10-27,62691,93
2020-10-27,62692,22
2020-10-27,62693,25
2020-10-27,62694,69
2020-10-27,62695,17
2020-10-27,62701,18
2020-10-27,62702,667
2020-10-27,62703,610
2020-10-27,62704,754
2020-10-27,62707,215
2020-10-27,62708,7
2020-10-27,62711,411
2020-10-27,62712,247
2020-10-27,62801,630
2020-10-27,62803,12
2020-10-27,62806,63
2020-10-27,62807,18
2020-10-27,62808,22
2020-10-27,62810,27
2020-10-27,62812,295
2020-10-27,62814,33
2020-10-27,62816,17
2020-10-27,62817,6
2020-10-27,62818,6
2020-10-27,62819,9
2020-10-27,62821,157
2020-10-27,62822,48
2020-10-27,62823,39
2020-10-27,62824,22
2020-10-27,62827,18
2020-10-27,62828,30
2020-10-27,62830,20
2020-10-27,62832,157
2020-10-27,62835,19
2020-10-27,62836,17
2020-10-27,62837,312
2020-10-27,62838,61
2020-10-27,62839,162
2020-10-27,62841,9
2020-10-27,62842,19
2020-10-27,62844,43
2020-10-27,62846,29
2020-10-27,62848,20
2020-10-27,62849,40
2020-10-27,62851,14
2020-10-27,62853,26
2020-10-27,62854,54
2020-10-27,62858,85
2020-10-27,62859,78
2020-10-27,62860,17
2020-10-27,62863,208
2020-10-27,62864,639
2020-10-27,62865,70
2020-10-27,62867,6
2020-10-27,62868,26
2020-10-27,62869,43
2020-10-27,62870,112
2020-10-27,62871,9
2020-10-27,62872,34
2020-10-27,62874,14
2020-10-27,62875,54
2020-10-27,62877,8
2020-10-27,62878,7
2020-10-27,62880,23
2020-10-27,62881,251
2020-10-27,62882,87
2020-10-27,62883,10
2020-10-27,62884,61
2020-10-27,62885,13
2020-10-27,62886,10
2020-10-27,62888,41
2020-10-27,62889,10
2020-10-27,62890,63
2020-10-27,62891,11
2020-10-27,62892,7
2020-10-27,62893,25
2020-10-27,62894,24
2020-10-27,62895,70
2020-10-27,62896,329
2020-10-27,62897,16
