report_date,geoid,county,state,initiated,initiated_rate,complete,complete_rate,last7,last7_rate
2021-05-09,29186,Ste. Genevieve,Missouri,5409,302.6691287560853,4546,254.37860220468917,286,16.003581220972524
2021-05-09,29207,Stoddard,Missouri,7192,243.69747899159663,6134,207.84765519110871,336,11.385199240986717
2021-05-09,29209,Stone,Missouri,8449,267.992514352777,7401,234.75116566752308,391,12.40206806863958
2021-05-09,29211,Sullivan,Missouri,1664,263.4161785657749,1467,232.23048915624506,45,7.123634636694634
2021-05-09,29213,Taney,Missouri,13696,250.29239766081872,11656,213.01169590643275,731,13.358918128654972
2021-05-09,29215,Texas,Missouri,4972,193.68158622570215,3823,148.92290911923962,231,8.998480775972888
2021-05-09,29217,Vernon,Missouri,4671,225.75032622879513,4021,194.335701512735,237,11.45425547339423
2021-05-09,29219,Warren,Missouri,10064,296.80311430930755,8030,236.8172702607054,950,28.01698714167748
2021-05-09,29221,Washington,Missouri,4624,185.4719024507641,3547,142.27267257631064,348,13.95852553046408
2021-05-09,29223,Wayne,Missouri,3060,229.93688007213706,2568,192.96663660955815,124,9.317703636910128
2021-05-09,29225,Webster,Missouri,10751,282.31185336904576,9177,240.979990546715,571,14.99396040123943
2021-05-09,29227,Worth,Missouri,586,287.2549019607843,537,263.2352941176471,18,8.823529411764707
2021-05-09,29229,Wright,Missouri,3899,213.14163887825944,3273,178.92089870442246,290,15.853058546985187
