report_date,geoid,short_name,full_name,cases,case_rate,new_cases,case_avg,case_avg_rate,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2021-04-24,17860,Columbia,"Columbia, MO Metro Area",26488,150.06090133982946,3,17.285714285714285,9.792773580553655,212,1.2010310738464154,0,0.2857142857142857,0.800362428269405
2021-04-25,17860,Columbia,"Columbia, MO Metro Area",26488,150.06090133982946,0,16.857142857142858,9.549977541366376,212,1.2010310738464154,0,0.2857142857142857,0.800362428269405
2021-04-26,17860,Columbia,"Columbia, MO Metro Area",26522,150.25351953091806,34,17.428571428571427,9.873705593616082,212,1.2010310738464154,0,0.2857142857142857,0.7993363999698364
2021-04-27,17860,Columbia,"Columbia, MO Metro Area",26529,150.29317621731863,7,18,10.19743364586579,213,1.2066963147607852,1,0.2857142857142857,0.8028949451543593
2021-04-28,17860,Columbia,"Columbia, MO Metro Area",26547,150.3951505537773,18,17.571428571428573,9.95463760667851,213,1.2066963147607852,0,0.14285714285714285,0.8023505480845292
2021-04-29,17860,Columbia,"Columbia, MO Metro Area",26566,150.50279013115033,19,17.142857142857142,9.711841567491229,213,1.2066963147607852,0,0.14285714285714285,0.8017767070691862
2021-04-30,17860,Columbia,"Columbia, MO Metro Area",26585,150.61042970852333,19,14.285714285714286,8.093201306242692,213,1.2066963147607852,0,0.14285714285714285,0.8012036862892609
2021-05-01,17860,Columbia,"Columbia, MO Metro Area",26585,150.61042970852333,0,13.857142857142858,7.850405267055411,212,1.2010310738464154,-1,0,0.7974421666353206
2021-05-02,17860,Columbia,"Columbia, MO Metro Area",26587,150.6217601903521,2,14.142857142857142,8.012269293180264,212,1.2010310738464154,0,0,0.7973821792605409
2021-05-03,17860,Columbia,"Columbia, MO Metro Area",26601,150.70107356315327,14,11.285714285714286,6.3936290319317255,212,1.2010310738464154,0,0,0.7969625202060073
2021-05-04,17860,Columbia,"Columbia, MO Metro Area",26608,150.74073024955388,7,11.285714285714286,6.3936290319317255,214,1.212361555675155,2,0.14285714285714285,0.8042693926638604
2021-05-05,17860,Columbia,"Columbia, MO Metro Area",26621,150.8143783814407,13,10.571428571428571,5.988968966619591,214,1.212361555675155,0,0.14285714285714285,0.8038766387438488
2021-05-06,17860,Columbia,"Columbia, MO Metro Area",26633,150.8823612724131,12,9.571428571428571,5.422444875182602,214,1.212361555675155,0,0.14285714285714285,0.8035144369766831
2021-05-07,17860,Columbia,"Columbia, MO Metro Area",26643,150.93901368155682,10,8.285714285714286,4.6940567576207615,214,1.212361555675155,0,0.14285714285714285,0.8032128514056224
2021-05-08,17860,Columbia,"Columbia, MO Metro Area",26647,150.9616746452143,4,8.857142857142858,5.017784809870468,214,1.212361555675155,0,0.2857142857142857,0.8030922805569107
2021-05-09,17860,Columbia,"Columbia, MO Metro Area",26649,150.97300512704302,2,8.857142857142858,5.017784809870468,214,1.212361555675155,0,0.2857142857142857,0.8030320087057676
2021-05-10,17860,Columbia,"Columbia, MO Metro Area",26660,151.0353227771011,11,8.428571428571429,4.774988770683188,214,1.212361555675155,0,0.2857142857142857,0.8027006751687922
2021-05-11,17860,Columbia,"Columbia, MO Metro Area",26686,151.1826190408747,26,11.142857142857142,6.312697018869298,214,1.212361555675155,0,0,0.8019186090084689
2021-05-12,17860,Columbia,"Columbia, MO Metro Area",26694,151.22794096818967,8,10.428571428571429,5.908036953557165,214,1.212361555675155,0,0,0.8016782797632427
2021-05-13,17860,Columbia,"Columbia, MO Metro Area",26705,151.29025861824775,11,10.285714285714286,5.8271049404947375,214,1.212361555675155,0,0,0.8013480621606441
2021-05-14,17860,Columbia,"Columbia, MO Metro Area",26715,151.34691102739146,10,10.285714285714286,5.8271049404947375,214,1.212361555675155,0,0,0.8010481003181733
2021-05-15,17860,Columbia,"Columbia, MO Metro Area",26718,151.36390675013456,3,10.142857142857142,5.74617292743231,214,1.212361555675155,0,0,0.8009581555505652
2021-05-16,17860,Columbia,"Columbia, MO Metro Area",26719,151.36957199104893,1,10,5.665240914369884,214,1.212361555675155,0,0,0.8009281784497924
2021-05-17,17860,Columbia,"Columbia, MO Metro Area",26719,151.36957199104893,0,8.428571428571429,4.774988770683188,214,1.212361555675155,0,0,0.8009281784497924
2021-05-18,17860,Columbia,"Columbia, MO Metro Area",26745,151.51686825482253,26,8.428571428571429,4.774988770683188,214,1.212361555675155,0,0,0.8001495606655449
2021-05-19,17860,Columbia,"Columbia, MO Metro Area",26758,151.59051638670934,13,9.142857142857142,5.179648835995321,237,1.3426620967056624,23,3.2857142857142856,0.8857164212571942
2021-05-20,17860,Columbia,"Columbia, MO Metro Area",26785,151.74347789139733,27,11.428571428571429,6.474561044994152,237,1.3426620967056624,0,3.2857142857142856,0.8848235952958746
2021-05-21,17860,Columbia,"Columbia, MO Metro Area",26806,151.86244795059912,21,13,7.3648131886808494,237,1.3426620967056624,0,3.2857142857142856,0.8841304185630082
2021-05-22,17860,Columbia,"Columbia, MO Metro Area",26810,151.8851089142566,4,13.142857142857142,7.445745201743276,237,1.3426620967056624,0,3.2857142857142856,0.8839985080193957
2021-05-23,17860,Columbia,"Columbia, MO Metro Area",26812,151.89643939608533,2,13.285714285714286,7.526677214805703,237,1.3426620967056624,0,3.2857142857142856,0.8839325675070864
2021-05-24,17860,Columbia,"Columbia, MO Metro Area",26834,152.02107469620145,22,16.428571428571427,9.307181502179093,237,1.3426620967056624,0,3.2857142857142856,0.8832078706119103
2021-05-25,17860,Columbia,"Columbia, MO Metro Area",26848,152.10038806900263,14,14.714285714285714,8.335997345429972,238,1.3483273376200322,1,3.4285714285714284,0.886471990464839
2021-05-26,17860,Columbia,"Columbia, MO Metro Area",26857,152.15137523723197,9,14.142857142857142,8.012269293180264,238,1.3483273376200322,0,0.14285714285714285,0.8861749264623748
2021-05-27,17860,Columbia,"Columbia, MO Metro Area",26864,152.19103192363255,7,11.285714285714286,6.3936290319317255,238,1.3483273376200322,0,0.14285714285714285,0.8859440142942228
2021-05-28,17860,Columbia,"Columbia, MO Metro Area",26871,152.23068861003313,7,9.285714285714286,5.2605808490577495,238,1.3483273376200322,0,0.14285714285714285,0.8857132224331062
2021-05-29,17860,Columbia,"Columbia, MO Metro Area",26871,152.23068861003313,0,8.714285714285714,4.936852796808041,238,1.3483273376200322,0,0.14285714285714285,0.8857132224331062
2021-05-30,17860,Columbia,"Columbia, MO Metro Area",26872,152.2363538509475,1,8.571428571428571,4.855920783745614,238,1.3483273376200322,0,0.14285714285714285,0.8856802619827329
2021-05-31,17860,Columbia,"Columbia, MO Metro Area",26873,152.2420190918619,1,5.571428571428571,3.156348509434649,238,1.3483273376200322,0,0.14285714285714285,0.8856473039854129
2021-06-01,17860,Columbia,"Columbia, MO Metro Area",26892,152.3496586692349,19,6.285714285714286,3.561008574746784,238,1.3483273376200322,0,0,0.8850215677524914
2021-06-02,17860,Columbia,"Columbia, MO Metro Area",26905,152.4233068011217,13,6.857142857142857,3.8847366269964914,238,1.3483273376200322,0,0,0.884593941646534
2021-06-03,17860,Columbia,"Columbia, MO Metro Area",26921,152.51395065575164,16,8.142857142857142,4.613124744558333,238,1.3483273376200322,0,0,0.8840681995468221
2021-06-04,17860,Columbia,"Columbia, MO Metro Area",26942,152.6329207149534,21,10.142857142857142,5.74617292743231,238,1.3483273376200322,0,0,0.8833791106822062
2021-06-05,17860,Columbia,"Columbia, MO Metro Area",26946,152.65558167861087,4,10.714285714285714,6.069900979682018,238,1.3483273376200322,0,0,0.8832479774363543
2021-06-06,17860,Columbia,"Columbia, MO Metro Area",26946,152.65558167861087,0,10.571428571428571,5.988968966619591,238,1.3483273376200322,0,0,0.8832479774363543
2021-06-07,17860,Columbia,"Columbia, MO Metro Area",26956,152.71223408775458,10,11.857142857142858,6.717357084181433,238,1.3483273376200322,0,0,0.8829203145867339
2021-06-08,17860,Columbia,"Columbia, MO Metro Area",26970,152.79154746055576,14,11.142857142857142,6.312697018869298,238,1.3483273376200322,0,0,0.8824619948090471
2021-06-09,17860,Columbia,"Columbia, MO Metro Area",26984,152.87086083335694,14,11.285714285714286,6.3936290319317255,238,1.3483273376200322,0,0,0.8820041506077675
2021-06-10,17860,Columbia,"Columbia, MO Metro Area",26989,152.89918703792878,5,9.714285714285714,5.50337688824503,238,1.3483273376200322,0,0,0.8818407499351588
2021-06-11,17860,Columbia,"Columbia, MO Metro Area",26997,152.94450896524376,8,7.857142857142857,4.451260718433479,238,1.3483273376200322,0,0,0.8815794347520094
2021-06-12,17860,Columbia,"Columbia, MO Metro Area",27003,152.97850041072996,6,8.142857142857142,4.613124744558333,238,1.3483273376200322,0,0,0.8813835499759287
2021-06-13,17860,Columbia,"Columbia, MO Metro Area",27007,153.00116137438744,4,8.714285714285714,4.936852796808041,238,1.3483273376200322,0,0,0.8812530084792831
2021-06-14,17860,Columbia,"Columbia, MO Metro Area",27029,153.12579667450356,22,10.428571428571429,5.908036953557165,238,1.3483273376200322,0,0,0.8805357208923748
2021-06-15,17860,Columbia,"Columbia, MO Metro Area",27036,153.16545336090417,7,9.428571428571429,5.341512862120176,239,1.353992578534402,1,0.14285714285714285,0.8840065098387336
2021-06-16,17860,Columbia,"Columbia, MO Metro Area",27054,153.26742769736282,18,10,5.665240914369884,239,1.353992578534402,0,0.14285714285714285,0.8834183484882088
2021-06-17,17860,Columbia,"Columbia, MO Metro Area",27083,153.43171968387955,29,13.428571428571429,7.60760922786813,239,1.353992578534402,0,0.14285714285714285,0.8824723996603036
2021-06-18,17860,Columbia,"Columbia, MO Metro Area",27125,153.6696598022831,42,18.285714285714285,10.359297671990642,239,1.353992578534402,0,0.14285714285714285,0.8811059907834101
2021-06-19,17860,Columbia,"Columbia, MO Metro Area",27159,153.86227799337166,34,22.285714285714285,12.625394037738596,239,1.353992578534402,0,0.14285714285714285,0.8800029456165543
2021-06-20,17860,Columbia,"Columbia, MO Metro Area",27171,153.9302608843441,12,23.428571428571427,13.272850142238013,239,1.353992578534402,0,0.14285714285714285,0.8796142946523868
2021-06-21,17860,Columbia,"Columbia, MO Metro Area",27201,154.1002181117752,30,24.571428571428573,13.920306246737429,239,1.353992578534402,0,0.14285714285714285,0.8786441674938422
2021-06-22,17860,Columbia,"Columbia, MO Metro Area",27230,154.26451009829194,29,27.714285714285715,15.700810534110822,239,1.353992578534402,0,0,0.877708409842086
2021-06-23,17860,Columbia,"Columbia, MO Metro Area",27258,154.42313684389427,28,29.142857142857142,16.51013066473509,239,1.353992578534402,0,0,0.8768068090101989
2021-06-24,17860,Columbia,"Columbia, MO Metro Area",27297,154.6440812395547,39,30.571428571428573,17.31945079535936,239,1.353992578534402,0,0,0.8755540901930614
2021-06-25,17860,Columbia,"Columbia, MO Metro Area",27338,154.87635611704385,41,30.428571428571427,17.238518782296932,239,1.353992578534402,0,0,0.8742409832467627
2021-06-26,17860,Columbia,"Columbia, MO Metro Area",27342,154.89901708070136,4,26.142857142857142,14.810558390424125,239,1.353992578534402,0,0,0.8741130860946529
2021-06-27,17860,Columbia,"Columbia, MO Metro Area",27346,154.92167804435883,4,25,14.16310228592471,239,1.353992578534402,0,0,0.8739852263585168
2021-06-28,17860,Columbia,"Columbia, MO Metro Area",27427,155.3805625584228,81,32.285714285714285,18.29063495210848,239,1.353992578534402,0,0,0.8714040908593722
2021-06-29,17860,Columbia,"Columbia, MO Metro Area",27489,155.73180749511374,62,37,20.961391383168568,240,1.359657819448772,1,0.14285714285714285,0.8730765033286042
2021-06-30,17860,Columbia,"Columbia, MO Metro Area",27543,156.0377305044897,54,40.714285714285715,23.065623722791667,240,1.359657819448772,0,0.14285714285714285,0.8713647750789675
2021-07-01,17860,Columbia,"Columbia, MO Metro Area",27595,156.33232303203692,52,42.57142857142857,24.11773989260322,240,1.359657819448772,0,0.14285714285714285,0.869722775865193
