report_date,new_in_pt,new_in_pt_avg,in_pt,in_pt_avg,icu,icu_avg,vent,vent_avg,mortality,mortality_avg
2021-04-09,44,39.142857142857146,245,246.85714285714286,53,52.285714285714285,31,33,3,2.7142857142857144
2021-04-10,41,42,244,251.71428571428572,54,52.42857142857143,36,33.57142857142857,2,2.5714285714285716
2021-04-11,35,41.42857142857143,268,257.2857142857143,60,53.857142857142854,43,34.857142857142854,2,2.2857142857142856
2021-04-12,46,41.142857142857146,255,260.2857142857143,56,54.714285714285715,35,35.42857142857143,4,2.857142857142857
2021-04-13,37,38.714285714285715,264,260.85714285714283,60,55.714285714285715,32,35.857142857142854,2,2.857142857142857
2021-04-14,48,40.714285714285715,250,256.7142857142857,57,56,30,34.857142857142854,4,2.857142857142857
2021-04-15,42,41.857142857142854,234,251.42857142857142,46,55.142857142857146,31,34,2,2.7142857142857144
2021-04-16,28,39.57142857142857,236,250.14285714285714,46,54.142857142857146,28,33.57142857142857,5,3
2021-04-17,42,39.714285714285715,213,245.71428571428572,43,52.57142857142857,31,32.857142857142854,3,3.142857142857143
2021-04-18,32,39.285714285714285,231,240.42857142857142,47,50.714285714285715,30,31,1,3
2021-04-19,48,39.57142857142857,232,237.14285714285714,52,50.142857142857146,33,30.714285714285715,3,2.857142857142857
2021-04-20,47,41,231,232.42857142857142,55,49.42857142857143,35,31.142857142857142,3,3
2021-04-21,38,39.57142857142857,262,234.14285714285714,55,49.142857142857146,31,31.285714285714285,3,2.857142857142857
2021-04-22,37,38.857142857142854,254,237,59,51,36,32,1,2.7142857142857144
2021-04-23,37,40.142857142857146,242,237.85714285714286,56,52.42857142857143,35,33,4,2.5714285714285716
2021-04-24,35,39.142857142857146,247,242.71428571428572,58,54.57142857142857,32,33.142857142857146,4,2.7142857142857144
2021-04-25,35,39.57142857142857,257,246.42857142857142,55,55.714285714285715,30,33.142857142857146,4,3.142857142857143
2021-04-26,41,38.57142857142857,254,249.57142857142858,59,56.714285714285715,37,33.714285714285715,3,3.142857142857143
2021-04-27,35,36.857142857142854,263,254.14285714285714,61,57.57142857142857,38,34.142857142857146,3,3.142857142857143
2021-04-28,39,37,253,252.85714285714286,53,57.285714285714285,35,34.714285714285715,2,3
2021-04-29,47,38.42857142857143,234,250,59,57.285714285714285,36,34.714285714285715,4,3.4285714285714284
2021-04-30,36,38.285714285714285,236,249.14285714285714,57,57.42857142857143,35,34.714285714285715,3,3.2857142857142856
2021-05-01,26,37,240,248.14285714285714,53,56.714285714285715,31,34.57142857142857,2,3
2021-05-02,33,36.714285714285715,225,243.57142857142858,59,57.285714285714285,29,34.42857142857143,6,3.2857142857142856
2021-05-03,34,35.714285714285715,253,243.42857142857142,64,58,28,33.142857142857146,3,3.2857142857142856
2021-05-04,37,36,236,239.57142857142858,63,58.285714285714285,22,30.857142857142858,3,3.2857142857142856
2021-05-05,31,34.857142857142854,226,235.71428571428572,65,60,22,29,0,3
2021-05-06,37,33.42857142857143,266,240.28571428571428,65,60.857142857142854,32,28.428571428571427,2,2.7142857142857144
2021-05-07,27,32.142857142857146,232,239.71428571428572,57,60.857142857142854,24,26.857142857142858,3,2.7142857142857144
2021-05-08,30,32.714285714285715,222,237.14285714285714,58,61.57142857142857,24,25.857142857142858,2,2.7142857142857144
2021-05-09,29,32.142857142857146,233,238.28571428571428,64,62.285714285714285,31,26.142857142857142,3,2.2857142857142856
2021-05-10,30,31.571428571428573,243,236.85714285714286,70,63.142857142857146,29,26.285714285714285,5,2.5714285714285716
2021-05-11,32,30.857142857142858,250,238.85714285714286,66,63.57142857142857,33,27.857142857142858,0,2.142857142857143
2021-05-12,24,29.857142857142858,229,239.28571428571428,69,64.14285714285714,41,30.571428571428573,1,2.2857142857142856
2021-05-13,19,27.285714285714285,207,230.85714285714286,67,64.42857142857143,35,31,9,3.2857142857142856
2021-05-14,23,26.714285714285715,202,226.57142857142858,70,66.28571428571429,31,32,0,2.857142857142857
2021-05-15,16,24.714285714285715,188,221.71428571428572,57,66.14285714285714,26,32.285714285714285,3,3
2021-05-16,29,24.714285714285715,185,214.85714285714286,60,65.57142857142857,29,32,2,2.857142857142857
2021-05-17,16,22.714285714285715,190,207.28571428571428,62,64.42857142857143,31,32.285714285714285,5,2.857142857142857
2021-05-18,28,22.142857142857142,174,196.42857142857142,57,63.142857142857146,28,31.571428571428573,3,3.2857142857142856
2021-05-19,44,25,165,187.28571428571428,52,60.714285714285715,26,29.428571428571427,3,3.5714285714285716
2021-05-20,31,26.714285714285715,164,181.14285714285714,45,57.57142857142857,24,27.857142857142858,2,2.5714285714285716
2021-05-21,25,27,175,177.28571428571428,56,55.57142857142857,24,26.857142857142858,1,2.7142857142857144
2021-05-22,17,27.142857142857142,170,174.71428571428572,49,54.42857142857143,26,26.857142857142858,0,2.2857142857142856
2021-05-23,18,25.571428571428573,169,172.42857142857142,43,52,24,26.142857142857142,3,2.4285714285714284
2021-05-24,27,27.142857142857142,162,168.42857142857142,41,49,24,25.142857142857142,3,2.142857142857143
2021-05-25,20,26,169,167.71428571428572,42,46.857142857142854,22,24.285714285714285,1,1.8571428571428572
2021-05-26,20,22.571428571428573,160,167,41,45.285714285714285,26,24.285714285714285,1,1.5714285714285714
2021-05-27,26,21.857142857142858,149,164.85714285714286,45,45.285714285714285,28,24.857142857142858,1,1.4285714285714286
2021-05-28,23,21.571428571428573,159,162.57142857142858,46,43.857142857142854,32,26,3,1.7142857142857142
2021-05-29,20,22,145,159,41,42.714285714285715,29,26.428571428571427,1,1.8571428571428572
2021-05-30,17,21.857142857142858,154,156.85714285714286,43,42.714285714285715,32,27.571428571428573,5,2.142857142857143
